"Version","Variable Order","Class","Dataset Name","Variable Name","Variable Label","Type","Controlled Terms, Codelist or Format","Role","Role Description","Description"
"SDTM v1.4","1","General Observations",,"STUDYID","Study Identifier","Char",,"Identifier","Identifier","Unique identifier for a study."
"SDTM v1.4","2","General Observations",,"DOMAIN","Domain Abbreviation","Char",,"Identifier","Identifier","Two-character abbreviation for the domain most relevant to the observation. The Domain abbreviation is also used as a prefix for variables to ensure uniqueness when datasets are merged."
"SDTM v1.4","3","General Observations",,"USUBJID","Unique Subject Identifier","Char",,"Identifier","Identifier","Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product."
"SDTM v1.4","4","General Observations",,"POOLID","Pool Identifier","Char",,"Identifier","Identifier","An identifier used to identify a result from a group of subjects that is not assignable to a specific subject."
"SDTM v1.4","5","General Observations",,"SPDEVID","Sponsor Device Identifier","Char",,"Identifier","Identifier","Sponsor-defined identifier for a device"
"SDTM v1.4","6","General Observations",,"--SEQ","Sequence Number","Num",,"Identifier","Identifier","Sequence number to ensure uniqueness of records within a dataset for a subject (or within a parameter, in the case of the Trial Summary domain). May be any valid number (including decimals) and does not have to start at 1."
"SDTM v1.4","7","General Observations",,"--GRPID","Group ID","Char",,"Identifier","Identifier","Optional group identifier, used to link together a block of related records within a subject in a domain. Also used to link together a block of related records in the Trial Summary dataset (Section 3.4)."
"SDTM v1.4","8","General Observations",,"--REFID","Reference ID","Char",,"Identifier","Identifier","Optional internal or external identifier such as lab specimen ID, or UUID for an ECG waveform or a medical image."
"SDTM v1.4","9","General Observations",,"--SPID","Sponsor-Defined Identifier","Char",,"Identifier","Identifier","Sponsor-defined identifier. Example: pre-printed line identifier on a Concomitant Medications page."
"SDTM v1.4","10","General Observations",,"--LNKID","Link ID","Char",,"Identifier","Identifier","Identifier used to link related records across domains. This may be a one-to-one or a one-to-many relationship. For Example: A single tumor may have multiple measurements/assessments performed at each study visit."
"SDTM v1.4","11","General Observations",,"--LNKGRP","Link Group ID","Char",,"Identifier","Identifier","Identifier used to link related records across domains. This will usually be a many-to-one relationship. For example: Multiple tumor measurements/assessments will contribute to a single response to therapy determination record."
"SDTM v1.4","12","General Observations",,"VISITNUM","Visit Number","Num",,"Timing","Timing","Clinical encounter number. Numeric version of VISIT, used for sorting."
"SDTM v1.4","13","General Observations",,"VISIT","Visit Name","Char",,"Timing","Timing","Protocol-defined description of a clinical encounter."
"SDTM v1.4","14","General Observations",,"VISITDY","Planned Study Day of Visit","Num",,"Timing","Timing","Planned study day of VISIT. Should be an integer."
"SDTM v1.4","15","General Observations",,"TAETORD","Planned Order of Element within Arm","Num",,"Timing","Timing","Number that gives the planned order of the Element within the Arm (see Trial Arms, Section 3.2.2)."
"SDTM v1.4","16","General Observations",,"EPOCH","Epoch","Char",,"Timing","Timing","Epoch associated with the start date/time of the observation, or the date/time of collection if start date/time is not collected. (See Section 3.2.2)."
"SDTM v1.4","17","General Observations",,"--DTC","Date/Time of Collection","Char",,"Timing","Timing","Collection date and time of an observation represented in IS0 8601 character format."
"SDTM v1.4","18","General Observations",,"--STDTC","Start Date/Time of Observation","Char",,"Timing","Timing","Start date/time of an observation represented in IS0 8601 character format."
"SDTM v1.4","19","General Observations",,"--ENDTC","End Date/Time of Observation","Char",,"Timing","Timing","End date/time of the observation represented in IS0 8601 character format."
"SDTM v1.4","20","General Observations",,"--DY","Study Day of Visit/Collection/Exam","Num",,"Timing","Timing","Actual study day of visit/collection/exam expressed in integer days relative to the sponsor-defined RFSTDTC in Demographics."
"SDTM v1.4","21","General Observations",,"--STDY","Study Day of Start of Observation","Num",,"Timing","Timing","Actual study day of start of observation expressed in integer days relative to the sponsor-defined RFSTDTC in Demographics."
"SDTM v1.4","22","General Observations",,"--ENDY","Study Day of End of Observation","Num",,"Timing","Timing","Actual study day of end of observation expressed in integer days relative to the sponsor-defined RFSTDTC in Demographics."
"SDTM v1.4","23","General Observations",,"--DUR","Duration","Char",,"Timing","Timing","Collected duration of an event, intervention, or finding represented in ISO 8601 character format. Used only if collected on the CRF and not derived."
"SDTM v1.4","24","General Observations",,"--TPT","Planned Time Point Name","Char",,"Timing","Timing","Text description of time when a measurement or observation should be taken as defined in the protocol. This may be represented as an elapsed time relative to a fixed reference point, such as time of last dose. See --TPTNUM and --TPTREF."
"SDTM v1.4","25","General Observations",,"--TPTNUM","Planned Time Point Number","Num",,"Timing","Timing","Numeric version of planned time point used in sorting."
"SDTM v1.4","26","General Observations",,"--ELTM","Planned Elapsed Time from Time Point Ref","Char",,"Timing","Timing","Planned Elapsed time in ISO 8601 character format relative to a planned fixed reference (--TPTREF) such as ""Previous Dose"" or ""Previous Meal"". This variable is useful where there are repetitive measures. Not a clock time or a date/time variable, but an interval, represented as ISO duration."
"SDTM v1.4","27","General Observations",,"--TPTREF","Time Point Reference","Char",,"Timing","Timing","Description of the fixed reference point referred to by --ELTM, --TPTNUM, and --TPT. Examples: PREVIOUS DOSE, PREVIOUS MEAL."
"SDTM v1.4","28","General Observations",,"--RFTDTC","Date/Time of Reference Time Point","Char",,"Timing","Timing","Date/time for a fixed reference time point defined by --TPTREF in ISO 8601 character format."
"SDTM v1.4","29","General Observations",,"--STRF","Start Relative to Reference Period","Char",,"Timing","Timing","Identifies the start of the observation as being before, during, or after the sponsor-defined reference period. The sponsor-defined reference period is a continuous period of time defined by a discrete starting point and a discrete ending point represented by RFSTDTC and RFENDTC in Demographics.  Note: This variable will be deprecated (phased out) in a future (post SDTM v1.4) release. The functionality of this variable can be replaced by the use of --STRTPT with --STTPT = RFSTDTC."
"SDTM v1.4","30","General Observations",,"--ENRF","End Relative to Reference Period","Char",,"Timing","Timing","Identifies the end of the observation as being before, during or after the sponsor-defined reference period. The sponsor-defined reference period is a continuous period of time defined by a discrete starting point and a discrete ending point represented by RFSTDTC and RFENDTC in Demographics.  Note: This variable will be deprecated (phased out) in a future (post SDTM v1.4) release. The functionality of this variable can be replaced by the use of --ENRTPT with --ENTPT = RFENDTC."
"SDTM v1.4","31","General Observations",,"--EVLINT","Evaluation Interval","Char",,"Timing","Timing","Duration of interval associated with an observation such as a finding --TESTCD, represented in ISO 8601 character format. Example: -P2M to represent a period of the past 2 months as the evaluation interval for a question from a questionnaire such as SF-36."
"SDTM v1.4","32","General Observations",,"--EVINTX","Evaluation Interval Text","Char",,"Timing","Timing","Evaluation interval associated with an observation, where the interval is not able to be represented in ISO 8601 format. Examples: LIFETIME, LAST NIGHT, RECENTLY, OVER THE LAST FEW WEEKS."
"SDTM v1.4","33","General Observations",,"--STRTPT","Start Relative to Reference Time Point","Char",,"Timing","Timing","Identifies the start of the observation as being before or after the sponsor-defined reference time point defined by variable --STTPT."
"SDTM v1.4","34","General Observations",,"--STTPT","Start Reference Time Point","Char",,"Timing","Timing","Description or date/time in ISO 8601 or other character format of the sponsor-defined reference point referred to by --STRTPT. Examples: ""2003-12-15"" or ""VISIT 1""."
"SDTM v1.4","35","General Observations",,"--ENRTPT","End Relative to Reference Time Point","Char",,"Timing","Timing","Identifies the end of the observation as being before or after the sponsor-defined reference time point defined by variable --ENTPT."
"SDTM v1.4","36","General Observations",,"--ENTPT","End Reference Time Point","Char",,"Timing","Timing","Description or date/time in ISO 8601 or other character format of the sponsor-defined reference point referred to by --ENRTPT. Examples: ""2003-12-25"" or ""VISIT 2""."
"SDTM v1.4","37","General Observations",,"--STINT","Planned Start of Assessment Interval","Char",,"Timing","Timing","The start of a planned evaluation or assessment interval in ISO 8601 character format relative to the Time Point Reference (--TPTREF)."
"SDTM v1.4","38","General Observations",,"--ENINT","Planned End of Assessment Interval","Char",,"Timing","Timing","The end of a planned evaluation or assessment interval in ISO 8601 character format relative to the Time Point Reference (--TPTREF)."
"SDTM v1.4","39","General Observations",,"--DETECT","Time in Days to Detection","Num",,"Timing","Timing","The number of days from the start of dosing to the earliest detection of a condition or pathogen."
"SDTM v1.4","1","Interventions",,"--TRT","Name of Treatment","Char",,"Topic","Topic","The topic for the intervention observation, usually the verbatim name of the treatment, drug, medicine, or therapy given during the dosing interval for the observation."
"SDTM v1.4","2","Interventions",,"--MODIFY","Modified Treatment Name","Char",,"Synonym Qualifier","Synonym Qualifier of --TRT","If the value for --TRT is modified for coding purposes, then the modified text is placed here."
"SDTM v1.4","3","Interventions",,"--DECOD","Standardized Treatment Name","Char",,"Synonym Qualifier","Synonym Qualifier of --TRT","Standardized or dictionary-derived name of the topic variable, --TRT, or the modified topic variable (--MODIFY), if applicable. Equivalent to the generic drug name in WHO Drug, or a term in SNOMED, ICD9, or other published or sponsor-defined dictionaries."
"SDTM v1.4","4","Interventions",,"--MOOD","Mood","Char",,"Record Qualifier","Record Qualifier","Mode or condition of the record (e.g., SCHEDULED, PERFORMED)."
"SDTM v1.4","5","Interventions",,"--CAT","Category","Char",,"Grouping Qualifier","Grouping Qualifier","Used to define a category of topic-variable values."
"SDTM v1.4","6","Interventions",,"--SCAT","Subcategory","Char",,"Grouping Qualifier","Grouping Qualifier","Used to define a further categorization of --CAT values."
"SDTM v1.4","7","Interventions",,"--PRESP","Pre-specified","Char",,"Variable Qualifier","Variable Qualifier of --TRT","Used when a specific intervention is pre-specified on a CRF. Values should be ""Y"" or null."
"SDTM v1.4","8","Interventions",,"--OCCUR","Occurrence","Char",,"Record Qualifier","Record Qualifier","Used to record whether a pre-specified intervention occurred when information about the occurrence of a specific intervention is solicited."
"SDTM v1.4","9","Interventions",,"--STAT","Completion Status","Char",,"Record Qualifier","Record Qualifier","Used to indicate when a question about the occurrence of a pre-specified intervention was not answered. Should be null or have a value of NOT DONE."
"SDTM v1.4","10","Interventions",,"--REASND","Reason Not Done","Char",,"Record Qualifier","Record Qualifier","Reason not done. Used in conjunction with --STAT when value is NOT DONE."
"SDTM v1.4","11","Interventions",,"--INDC","Indication","Char",,"Record Qualifier","Record Qualifier","Denotes the indication for the intervention (e.g., why the therapy was taken or administered)."
"SDTM v1.4","12","Interventions",,"--CLAS","Class","Char",,"Variable Qualifier","Variable Qualifier of --TRT","Class for a medication or treatment, often obtained from a coding dictionary."
"SDTM v1.4","13","Interventions",,"--CLASCD","Class Code","Char",,"Variable Qualifier","Variable Qualifier of --TRT","Used to represent code for --CLAS."
"SDTM v1.4","14","Interventions",,"--DOSE","Dose","Num",,"Record Qualifier","Record Qualifier","Amount of --TRT given. Not populated when --DOSTXT is populated."
"SDTM v1.4","15","Interventions",,"--DOSTXT","Dose Description","Char",,"Record Qualifier","Record Qualifier","Dosing information collected in text form. Examples: <1 per day, 200-400. Not populated when --DOSE is populated."
"SDTM v1.4","16","Interventions",,"--DOSU","Dose Units","Char",,"Variable Qualifier","Variable Qualifier of --DOSE, --DOSTXT or --DOSTOT","Units for --DOSE, --DOSTOT, or --DOSTXT (Examples: ng, mg, mg/kg)."
"SDTM v1.4","17","Interventions",,"--DOSFRM","Dose Form","Char",,"Variable Qualifier","Variable Qualifier of --DOSE, --DOSTXT or --DOSTOT","Dose form for the treatment. Examples: TABLET, CAPSULE."
"SDTM v1.4","18","Interventions",,"--DOSFRQ","Dosing Frequency per Interval","Char",,"Variable Qualifier","Variable Qualifier of --DOSE, --DOSTXT or --DOSTOT","Usually expressed as the number of doses given per a specific interval. Examples: Q2H, QD, PRN."
"SDTM v1.4","19","Interventions",,"--DOSTOT","Total Daily Dose","Num",,"Record Qualifier","Record Qualifier","Total daily dose of --TRT using the units in --DOSU. Used when dosing is collected as Total Daily Dose."
"SDTM v1.4","20","Interventions",,"--DOSRGM","Intended Dose Regimen","Char",,"Variable Qualifier","Variable Qualifier of --DOSE, --DOSTXT or --DOSTOT","Text description of the (intended) schedule or regimen for the Intervention. Example: TWO WEEKS ON, TWO WEEKS OFF."
"SDTM v1.4","21","Interventions",,"--ROUTE","Route of Administration","Char",,"Variable Qualifier","Variable Qualifier of --TRT","Route of administration for the intervention. Examples: ORAL, INTRAVENOUS."
"SDTM v1.4","22","Interventions",,"--LOT","Lot Number","Char",,"Record Qualifier","Record Qualifier","Lot number for the intervention described in --TRT."
"SDTM v1.4","23","Interventions",,"--LOC","Location of Dose Administration","Char",,"Record Qualifier","Record Qualifier","Anatomical location of an intervention, such as an injection site. Example: ARM for an injection."
"SDTM v1.4","24","Interventions",,"--LAT","Laterality","Char",,"Variable Qualifier","Variable Qualifier of --LOC","Qualifier for anatomical location further detailing laterality of intervention administration. Examples: RIGHT, LEFT, BILATERAL"
"SDTM v1.4","25","Interventions",,"--DIR","Directionality","Char",,"Variable Qualifier","Variable Qualifier of --LOC","Qualifier for anatomical location further detailing directionality of intervention administration. Examples: ANTERIOR, LOWER, PROXIMAL"
"SDTM v1.4","26","Interventions",,"--PORTOT","Portion or Totality","Char",,"Variable Qualifier","Variable Qualifier of --LOC","Qualifier for anatomical location further detailing the distribution, which means arrangement of, apportioning of the intervention administration. Examples: ENTIRE, SINGLE, SEGMENT, MANY."
"SDTM v1.4","27","Interventions",,"--FAST","Fasting Status","Char",,"Record Qualifier","Record Qualifier","Indicator used to identify fasting status. Valid values include Y, N, U or null if not relevant."
"SDTM v1.4","28","Interventions",,"--PSTRG","Pharmaceutical Strength","Num",,"Variable Qualifier","Variable Qualifier","Amount of an active ingredient expressed quantitatively per dosage unit, per unit of volume, or per unit of weight, according to the pharmaceutical dose form. Example: 50 mg/TABLET, 300 mg/L"
"SDTM v1.4","29","Interventions",,"--PSTRGU","Pharmaceutical Strength Units","Char",,"Variable Qualifier","Variable Qualifier","Unit for --PSTRG. Example: mg/TABLET, mg/mL"
"SDTM v1.4","30","Interventions",,"--TRTV","Treatment Vehicle","Char",,"Record Qualifier","Record Qualifier","Vehicle for administration of treatment, such as a liquid in which the treatment drug is dissolved. Example: SALINE."
"SDTM v1.4","31","Interventions",,"--VAMT","Treatment Vehicle Amount","Num",,"Record Qualifier","Record Qualifier","Amount of the prepared product (treatment + vehicle) administered or given. Note: should not be diluent amount alone."
"SDTM v1.4","32","Interventions",,"--VAMTU","Treatment Vehicle Amount Units","Char",,"Variable Qualifier","Variable Qualifier of --VAMT","Units for the prepared product (treatment + vehicle). Examples: mL, mg."
"SDTM v1.4","33","Interventions",,"--ADJ","Reason for Dose Adjustment","Char",,"Record Qualifier","Record Qualifier","Describes reason or explanation of why a dose is adjusted. Examples ADVERSE EVENT, INSUFFICIENT RESPONSE, NON-MEDICAL REASON."
"SDTM v1.4","1","Events",,"--TERM","Reported Term","Char",,"Topic","Topic","Topic variable for an event observation, which is the verbatim or pre-specified name of the event."
"SDTM v1.4","2","Events",,"--MODIFY","Modified Reported Term","Char",,"Synonym Qualifier","Synonym Qualifier of --TERM","If the value for --TERM is modified for coding purposes, then the modified text is placed here."
"SDTM v1.4","3","Events",,"--LLT","Lowest Level Term","Char",,"Variable Qualifier","Variable Qualifier of --TERM","MedDRA Lowest Level Term."
"SDTM v1.4","4","Events",,"--LLTCD","Lowest Level Term Code","Num",,"Variable Qualifier","Variable Qualifier of --LLT","MedDRA Lowest Level Term code."
"SDTM v1.4","5","Events",,"--DECOD","Dictionary-Derived Term","Char",,"Synonym Qualifier","Synonym Qualifier of --TERM","Dictionary or sponsor-defined derived text description of the topic variable, --TERM, or the modified topic variable (--MODIFY), if applicable. Equivalent to the Preferred Term (PT in MedDRA)."
"SDTM v1.4","6","Events",,"--PTCD","Preferred Term Code","Num",,"Variable Qualifier","Variable Qualifier of --DECOD","MedDRA Preferred Term code."
"SDTM v1.4","7","Events",,"--HLT","High Level Term","Char",,"Variable Qualifier","Variable Qualifier of --TERM","MedDRA High Level Term from the primary path."
"SDTM v1.4","8","Events",,"--HLTCD","High Level Term Code","Num",,"Variable Qualifier","Variable Qualifier of --HLT","MedDRA High Level Term code from the primary path."
"SDTM v1.4","9","Events",,"--HLGT","High Level Group Term","Char",,"Variable Qualifier","Variable Qualifier of --TERM","MedDRA High Level Group Term from the primary path."
"SDTM v1.4","10","Events",,"--HLGTCD","High Level Group Term Code","Num",,"Variable Qualifier","Variable Qualifier of --HLGT","MedDRA High Level Group Term code from the primary path."
"SDTM v1.4","11","Events",,"--CAT","Category","Char",,"Grouping Qualifier","Grouping Qualifier","Used to define a category of topic-variable values."
"SDTM v1.4","12","Events",,"--SCAT","Subcategory","Char",,"Grouping Qualifier","Grouping Qualifier","Used to define a further categorization of --CAT values."
"SDTM v1.4","13","Events",,"--PRESP","Pre-specified","Char",,"Variable Qualifier","Variable Qualifier of --TERM","Used to indicate whether the event described by --TERM was pre-specified on a CRF. Value is Y for pre-specified events, null for spontaneously reported events."
"SDTM v1.4","14","Events",,"--OCCUR","Occurrence","Char",,"Record Qualifier","Record Qualifier","Used to record whether a pre-specified event occurred when information about the occurrence of a specific event is solicited."
"SDTM v1.4","15","Events",,"--STAT","Completion Status","Char",,"Record Qualifier","Record Qualifier","Used to indicate when a question about the occurrence of a pre-specified event was not answered. Should be null or have a value of NOT DONE."
"SDTM v1.4","16","Events",,"--REASND","Reason Not Done","Char",,"Record Qualifier","Record Qualifier","Reason not done. Used in conjunction with --STAT when its value is NOT DONE."
"SDTM v1.4","17","Events",,"--BODSYS","Body System or Organ Class","Char",,"Record Qualifier","Record Qualifier","Body system or system organ class assigned for analysis from a standard hierarchy (e.g. MedDRA) associated with an event. Example: GASTROINTESTINAL DISORDERS."
"SDTM v1.4","18","Events",,"--BDSYCD","Body System or Organ Class Code","Num",,"Variable Qualifier","Variable Qualifier of --BODSYS","MedDRA System Organ Class code corresponding to --BODSYS assigned for analysis."
"SDTM v1.4","19","Events",,"--SOC","Primary System Organ Class","Char",,"Variable Qualifier","Variable Qualifier of --TERM","MedDRA primary System Organ Class associated with the event."
"SDTM v1.4","20","Events",,"--SOCCD","Primary System Organ Class Code","Num",,"Variable Qualifier","Variable Qualifier of --SOC","MedDRA primary System Organ Class code."
"SDTM v1.4","21","Events",,"--LOC","Location of Event","Char",,"Record Qualifier","Record Qualifier","Describes anatomical location relevant for the event. Example: ARM for skin rash."
"SDTM v1.4","22","Events",,"--LAT","Laterality","Char",,"Variable Qualifier","Variable Qualifier of --LOC","Qualifier for anatomical location further detailing laterality. Examples: RIGHT, LEFT, BILATERAL"
"SDTM v1.4","23","Events",,"--DIR","Directionality","Char",,"Variable Qualifier","Variable Qualifier of --LOC","Qualifier for anatomical location further detailing directionality. Examples: ANTERIOR, LOWER, PROXIMAL"
"SDTM v1.4","24","Events",,"--PORTOT","Portion or Totality","Char",,"Variable Qualifier","Variable Qualifier of --LOC","Qualifier for anatomical location further detailing the distribution, which means arrangement of, apportioning of. Examples: ENTIRE, SINGLE, SEGMENT, MANY."
"SDTM v1.4","25","Events",,"--PARTY","Accountable Party","Char",,"Record Qualifier","Record Qualifier","Party accountable for the transferable object (e.g. device, specimen) as a result of the activity performed in the associated --TERM variable. The party could be an individual (e.g., subject), an organization (e.g., sponsor), or a location that is a proxy for an individual or organization (e.g., site). It is usually a somewhat general term that is further identified in the --PRTYID variable."
"SDTM v1.4","26","Events",,"--PRTYID","Identification of Accountable Party","Char",,"Record Qualifier","Record Qualifier","Identification of the specific party accountable for the transferable object (e.g. device, specimen) after the action in --TERM is taken. Used in conjunction with --PARTY."
"SDTM v1.4","27","Events",,"--SEV","Severity/Intensity","Char",,"Record Qualifier","Record Qualifier","The severity or intensity of the event. Examples: MILD, MODERATE, SEVERE."
"SDTM v1.4","28","Events",,"--SER","Serious Event","Char",,"Record Qualifier","Record Qualifier","Is this is a serious event? Valid values are ""Y"" and ""N""."
"SDTM v1.4","29","Events",,"--ACN","Action Taken with Study Treatment","Char",,"Record Qualifier","Record Qualifier","Describes changes made to the study treatment as a result of the event. Examples: DOSE INCREASED, DOSE NOT CHANGED."
"SDTM v1.4","30","Events",,"--ACNOTH","Other Action Taken","Char",,"Record Qualifier","Record Qualifier","Describes other actions taken as a result of the event that are unrelated to dose adjustments of study treatment."
"SDTM v1.4","31","Events",,"--ACNDEV","Action Taken with Device","Char",,"Record Qualifier","Record Qualifier","Action taken with respect to a device in a study, which may or may not be the device under study"
"SDTM v1.4","32","Events",,"--REL","Causality","Char",,"Record Qualifier","Record Qualifier","Records the investigator's opinion as to the causality of the event to the treatment. ICH E2A and E2B examples include NOT RELATED, UNLIKELY RELATED, POSSIBLY RELATED, RELATED."
"SDTM v1.4","33","Events",,"--RELNST","Relationship to Non-Study Treatment","Char",,"Record Qualifier","Record Qualifier","An opinion as to whether the event may have been due to a treatment other than study drug. Example: ""MORE LIKELY RELATED TO ASPIRIN USE."""
"SDTM v1.4","34","Events",,"--PATT","Pattern of Event","Char",,"Record Qualifier","Record Qualifier","Used to indicate the pattern of the event over time. Examples: INTERMITTENT, CONTINUOUS, SINGLE EVENT."
"SDTM v1.4","35","Events",,"--OUT","Outcome of Event","Char",,"Record Qualifier","Record Qualifier","Description of the outcome of an event. Examples: RECOVERED/RESOLVED, FATAL."
"SDTM v1.4","36","Events",,"--SCAN","Involves Cancer","Char",,"Record Qualifier","Record Qualifier","Was the event associated with the development of cancer? Valid values are ""Y"" and ""N""."
"SDTM v1.4","37","Events",,"--SCONG","Congenital Anomaly or Birth Defect","Char",,"Record Qualifier","Record Qualifier","Was the event associated with congenital anomaly or birth defect? Valid values are ""Y"" and ""N""."
"SDTM v1.4","38","Events",,"--SDISAB","Persist or Signif Disability/Incapacity","Char",,"Record Qualifier","Record Qualifier","Did the event result in persistent or significant disability/incapacity? Valid values are ""Y"" and ""N""."
"SDTM v1.4","39","Events",,"--SDTH","Results in Death","Char",,"Record Qualifier","Record Qualifier","Did the event result in death? Valid values are ""Y"" and ""N""."
"SDTM v1.4","40","Events",,"--SHOSP","Requires or Prolongs Hospitalization","Char",,"Record Qualifier","Record Qualifier","Did the event require or prolong hospitalization? Valid values are ""Y"" and ""N""."
