"Version","Variable Order","Class","Dataset Name","Variable Name","Variable Label","Type","Controlled Terms, Codelist or Format","Role","Role Description","Description"
"SDTM v1.4","41","Events",,"--SLIFE","Is Life Threatening","Char",,"Record Qualifier","Record Qualifier","Was the event life threatening? Valid values are ""Y"" and ""N""."
"SDTM v1.4","42","Events",,"--SOD","Occurred with Overdose","Char",,"Record Qualifier","Record Qualifier","Did the event occur with an overdose? Valid values are ""Y"" and ""N""."
"SDTM v1.4","43","Events",,"--SMIE","Other Medically Important Serious Event","Char",,"Record Qualifier","Record Qualifier","Do additional categories for seriousness apply? Valid values are ""Y"" and ""N""."
"SDTM v1.4","44","Events",,"--CONTRT","Concomitant or Additional Trtmnt Given","Char",,"Record Qualifier","Record Qualifier","Was another treatment given because of the occurrence of the event? Valid values are ""Y"" and ""N""."
"SDTM v1.4","45","Events",,"--TOX","Toxicity","Char",,"Variable Qualifier","Variable Qualifier of --TOXGR","Description of toxicity quantified by --TOXGR such as NCI CTCAE Short Name. Examples: HYPERCALCEMIA, HYPOCALCEMIA. Sponsor should specify which scale and version is used in the Sponsor Comments column of the Define-XML document."
"SDTM v1.4","46","Events",,"--TOXGR","Toxicity Grade","Char",,"Record Qualifier","Record Qualifier","Records toxicity grade using a standard toxicity scale (such as the NCI CTCAE). Sponsor should specify which scale and version is used in the Sponsor Comments column of the Define-XML document."
"SDTM v1.4","1","Findings",,"--TESTCD","Short Name of Measurement, Test or Examination","Char",,"Topic","Topic","Short character value for --TEST used as a column name when converting a dataset from a vertical format to a horizontal format. The short value can be up to 8 characters. Examples: PLAT, SYSBP, RRMIN, EYEEXAM."
"SDTM v1.4","2","Findings",,"--TEST","Name of Measurement, Test or Examination","Char",,"Synonym Qualifier","Synonym Qualifier of --TESTCD","Long name For --TESTCD. Examples: Platelet, Systolic Blood Pressure, Summary (Min) RR Duration, Eye Examination."
"SDTM v1.4","3","Findings",,"--MODIFY","Modified Term","Char",,"Synonym Qualifier","Synonym Qualifier of --ORRES","If the value of --ORRES is modified for coding purposes, then the modified text is placed here."
"SDTM v1.4","4","Findings",,"--TSTDTL","Measurement, Test or Examination Detail","Char",,"Variable Qualifier","Variable Qualifier of --TESTCD and --TEST","Further description of --TESTCD and --TEST. Example: ""The percentage of cells with +1 intensity of staining"" when MITESTCD = TTF1."
"SDTM v1.4","5","Findings",,"--CAT","Category","Char",,"Grouping Qualifier","Grouping Qualifier","Used to define a category of topic-variable values. Examples: HEMATOLOGY, URINALYSIS, CHEMISTRY, HAMILTON DEPRESSION SCALE, SF36, MICRO ARRAY, EGFR MUTATION ANALYSIS"
"SDTM v1.4","6","Findings",,"--SCAT","Subcategory","Char",,"Grouping Qualifier","Grouping Qualifier","Used to define a further categorization of --CAT values. Example: DIFFERENTIAL."
"SDTM v1.4","7","Findings",,"--POS","Position of Subject During Observation","Char",,"Record Qualifier","Record Qualifier","Position of the subject during a measurement or examination. Examples: SUPINE, STANDING, SITTING."
"SDTM v1.4","8","Findings",,"--BODSYS","Body System or Organ Class","Char",,"Record Qualifier","Record Qualifier","Body System or Organ Class that is involved for a finding from the standard hierarchy for dictionary-coded results. Example: MedDRA SOC."
"SDTM v1.4","9","Findings",,"--ORRES","Result or Finding in Original Units","Char",,"Result Qualifier","Result Qualifier","Result of the measurement or finding as originally received or collected. Examples: 120, <1, POS."
"SDTM v1.4","10","Findings",,"--ORRESU","Original Units","Char",,"Variable Qualifier","Variable Qualifier of --ORRES","Unit for --ORRES. Examples: IN, LB, kg/L."
"SDTM v1.4","11","Findings",,"--ORNRLO","Normal Range Lower Limit-Original Units","Char",,"Variable Qualifier","Variable Qualifier of --ORRES","Lower end of normal range or reference range for results stored in --ORRES."
"SDTM v1.4","12","Findings",,"--ORNRHI","Normal Range Upper Limit-Original Units","Char",,"Variable Qualifier","Variable Qualifier of --ORRES","Upper end of normal range or reference range for results stored in --ORRES."
"SDTM v1.4","13","Findings",,"--STRESC","Result or Finding in Standard Format","Char",,"Result Qualifier","Result Qualifier","Contains the result value for all findings, copied or derived from --ORRES in a standard format or in standard units. --STRESC should store all results or findings in character format; if results are numeric, they should also be stored in numeric format in --STRESN. For example, if various tests have results ""NONE"", ""NEG"", and ""NEGATIVE"" in --ORRES and these results effectively have the same meaning, they could be represented in standard format in --STRESC as ""NEGATIVE""."
"SDTM v1.4","14","Findings",,"--STRESN","Numeric Result/Finding in Standard Units","Num",,"Result Qualifier","Result Qualifier","Used for continuous or numeric results or findings in standard format; copied in numeric format from --STRESC. --STRESN should store all numeric test results or findings."
"SDTM v1.4","15","Findings",,"--STRESU","Standard Units","Char",,"Variable Qualifier","Variable Qualifier of --STRESC and --STRESN","Standardized units used for --STRESC and --STRESN. Example: mol/L."
"SDTM v1.4","16","Findings",,"--STNRLO","Normal Range Lower Limit-Standard Units","Num",,"Variable Qualifier","Variable Qualifier of --STRESC and --STRESN","Lower end of normal range or reference range for standardized results (e.g., --STRESC, --STRESN) represented in standardized units (--STRESU)."
"SDTM v1.4","17","Findings",,"--STNRHI","Normal Range Upper Limit-Standard Units","Num",,"Variable Qualifier","Variable Qualifier of --STRESC and --STRESN","Upper end of normal range or reference range for standardized results (e.g., --STRESC, --STRESN) represented in standardized units (--STRESU)."
"SDTM v1.4","18","Findings",,"--STNRC","Normal Range for Character Results","Char",,"Variable Qualifier","Variable Qualifier of --STRESC","Normal range or reference range for results stored in --STRESC that are character in ordinal or categorical scale. Example: Negative to Trace."
"SDTM v1.4","19","Findings",,"--NRIND","Normal/Reference Range Indicator","Char",,"Variable Qualifier","Variable Qualifier of --ORRES","Used to indicate the value is outside the normal range or reference range. May be defined by --ORNRLO and --ORNRHI or other objective criteria. Examples: Y, N; HIGH, LOW; NORMAL; ABNORMAL."
"SDTM v1.4","20","Findings",,"--RESCAT","Result Category","Char",,"Variable Qualifier","Variable Qualifier of --ORRES","Used to categorize the result of a finding. Example: MALIGNANT or BENIGN for tumor findings. RESISTANCE VARIANT for genetic variation."
"SDTM v1.4","21","Findings",,"--STAT","Completion Status","Char",,"Record Qualifier","Record Qualifier","Used to indicate that a question was not asked or a test was not done, or a test was attempted but did not generate a result. Should be null or have a value of NOT DONE."
"SDTM v1.4","22","Findings",,"--REASND","Reason Not Done","Char",,"Record Qualifier","Record Qualifier","Reason not done. Used in conjunction with --STAT when value is NOT DONE."
"SDTM v1.4","23","Findings",,"--XFN","External File Path","Char",,"Record Qualifier","Record Qualifier","Filename for an external file, such as one for an ECG waveform or a medical image."
"SDTM v1.4","24","Findings",,"--NAM","Laboratory/Vendor Name","Char",,"Record Qualifier","Record Qualifier","Name or identifier of the vendor (e.g., laboratory) that provided the test results."
"SDTM v1.4","25","Findings",,"--LOINC","LOINC Code","Char",,"Synonym Qualifier","Synonym Qualifier of --TESTCD","Logical Observation Identifiers Names and Codes (LOINC) code for the topic variable such as a lab test."
"SDTM v1.4","26","Findings",,"--SPEC","Specimen Material Type","Char",,"Record Qualifier","Record Qualifier","Defines the type of specimen used for a measurement. Examples: SERUM, PLASMA, URINE, DNA, RNA."
"SDTM v1.4","27","Findings",,"--ANTREG","Anatomical Region","Char",,"Variable Qualifier","Variable Qualifier of --SPEC","Defines the specific anatomical or biological region of a tissue, organ specimen or the region from which the specimen is obtained, as defined in the protocol, such as a section or part of what is described in the --SPEC variable. Examples: CORTEX, MEDULLA, MUCOSA"
"SDTM v1.4","28","Findings",,"--SPCCND","Specimen Condition","Char",,"Record Qualifier","Record Qualifier","Defines the condition of the specimen. Example: CLOUDY."
"SDTM v1.4","29","Findings",,"--SPCUFL","Specimen Usability for the Test","Char",,"Record Qualifier","Record Qualifier","Describes the usability of the specimen for the test. The value will be N if the specimen is not usable, and null if the specimen is usable."
"SDTM v1.4","30","Findings",,"--LOC","Location Used for the Measurement","Char",,"Record Qualifier","Record Qualifier","Anatomical location of the subject relevant to the collection of the measurement. Examples: RECTAL for temperature, ARM for blood pressure."
"SDTM v1.4","31","Findings",,"--LAT","Laterality","Char",,"Variable Qualifier","Variable Qualifier of --LOC","Qualifier for anatomical location or specimen further detailing laterality. Examples: RIGHT, LEFT, BILATERAL"
"SDTM v1.4","32","Findings",,"--DIR","Directionality","Char",,"Variable Qualifier","Variable Qualifier of --LOC","Qualifier for anatomical location or specimen further detailing directionality. Examples: ANTERIOR, LOWER, PROXIMAL"
"SDTM v1.4","33","Findings",,"--PORTOT","Portion or Totality","Char",,"Variable Qualifier","Variable Qualifier of --LOC","Qualifier for anatomical location or specimen further detailing the distribution, which means arrangement of, apportioning of. . Examples: ENTIRE, SINGLE, SEGMENT, MANY."
"SDTM v1.4","34","Findings",,"--METHOD","Method of Test or Examination","Char",,"Record Qualifier","Record Qualifier","Method of the test or examination. Examples: EIA (Enzyme Immunoassay), ELECTROPHORESIS, DIPSTICK"
"SDTM v1.4","35","Findings",,"--RUNID","Run ID","Char",,"Record Qualifier","Record Qualifier","A unique identifier for a particular run of a test on a particular batch of samples."
"SDTM v1.4","36","Findings",,"--ANMETH","Analysis Method","Char",,"Record Qualifier","Record Qualifier","Analysis method applied to obtain a summarized result. Analysis method describes the method of secondary processing applied to a complex observation result (e.g. an image or a genetic sequence)."
"SDTM v1.4","37","Findings",,"--LEAD","Lead Identified to Collect Measurements","Char",,"Record Qualifier","Record Qualifier","Lead or leads identified to capture the measurement for a test from an instrument. Examples: LEAD I, LEAD V2, LEAD CM5."
"SDTM v1.4","38","Findings",,"--CSTATE","Consciousness State","Char",,"Record Qualifier","Record Qualifier","The consciousness state of the subject at the time of measurement. Examples: CONSCIOUS, SEMI-CONSCIOUS, UNCONSCIOUS"
"SDTM v1.4","39","Findings",,"--BLFL","Baseline Flag","Char",,"Record Qualifier","Record Qualifier","Indicator used to identify a baseline value. Should be Y or null."
"SDTM v1.4","40","Findings",,"--FAST","Fasting Status","Char",,"Record Qualifier","Record Qualifier","Indicator used to identify fasting status. Valid values include Y, N, U or null if not relevant."
"SDTM v1.4","41","Findings",,"--DRVFL","Derived Flag","Char",,"Record Qualifier","Record Qualifier","Used to indicate a derived record (e.g., a record that represents the average of other records such as a computed baseline). Should be Y or null."
"SDTM v1.4","42","Findings",,"--EVAL","Evaluator","Char",,"Record Qualifier","Record Qualifier","Role of the person who provided the evaluation. Used only for results that are subjective (e.g., assigned by a person or a group). Examples: ADJUDICATION COMMITTEE, INDEPENDENT ASSESSOR, RADIOLOGIST."
"SDTM v1.4","43","Findings",,"--EVALID","Evaluator Identifier","Char",,"Variable Qualifier","Variable Qualifier of --EVAL","Used to distinguish multiple evaluators with the same role recorded in --EVAL. Examples: RADIOLOGIST1 or RADIOLOGIST2"
"SDTM v1.4","44","Findings",,"--ACPTFL","Accepted Record Flag","Char",,"Record Qualifier","Record Qualifier","In cases where more than one assessor provides an evaluation of a result or response, this flag identifies the record that is considered, by an independent assessor, to be the accepted evaluation. Expected to be Y or null."
"SDTM v1.4","45","Findings",,"--TOX","Toxicity","Char",,"Variable Qualifier","Variable Qualifier of --TOXGR","Description of toxicity quantified by --TOXGR such as NCI CTCAE Short Name. Examples: HYPERCALCEMIA, HYPOCALCEMIA. Sponsor should specify which scale and version is used in the Sponsor Comments column of the Define-XML document."
"SDTM v1.4","46","Findings",,"--TOXGR","Toxicity Grade","Char",,"Record Qualifier","Record Qualifier","Records toxicity grade using a standard toxicity scale (such as the NCI CTCAE). Sponsor should specify which scale and version is used in the Sponsor Comments column of the Define data definition document. Example: 2."
"SDTM v1.4","47","Findings",,"--SEV","Severity","Char",,"Record Qualifier","Record Qualifier","Describes the severity or intensity of a particular finding. Examples: MILD, MODERATE, SEVERE."
"SDTM v1.4","48","Findings",,"--DTHREL","Relationship to Death","Char",,"Record Qualifier","Record Qualifier","Describes the relationship of a particular finding to the death of a subject. Examples: Y, N or U."
"SDTM v1.4","49","Findings",,"--LLOQ","Lower Limit of Quantitation","Num",,"Variable Qualifier","Variable Qualifier of --STRESC and --STRESN","Indicates the lower limit of quantitation for an assay. Units will be those used for --STRESU."
"SDTM v1.4","50","Findings",,"--ULOQ","Upper Limit of Quantitation","Num",,"Variable Qualifier","Variable Qualifier of --STRESC and --STRESN","Indicates the upper limit of quantitation for an assay. Units will be those used for --STRESU."
"SDTM v1.4","51","Findings",,"--EXCLFL","Exclude from Statistics","Char",,"Record Qualifier","Record Qualifier","Indicates whether the values in the result variables for this record should be excluded from summary statistical calculations such as Mean, Standard Deviation, and Count (and others). Expected to be Y or null. --EXCLFL should not be used when --STAT is NOT DONE. Not to be used with human clinical trials."
"SDTM v1.4","52","Findings",,"--REASEX","Reason for Exclusion from Statistics","Char",,"Record Qualifier","Record Qualifier","Reason excluded from statistics. Used in conjunction with --EXCLFL when its value is Y. Not to be used with human clinical trials."
"SDTM v1.4","1","Findings About",,"--OBJ","Object of the Observation","Char",,"Record Qualifier","Record Qualifier","Used in domains modeled as Findings About Events or Findings About Interventions. Describes the event or intervention whose property is being measured in --TESTCD/--TEST. Example: an event of vomiting which has findings, where --OBJ = ""VOMIT"" and the volume of VOMIT is being measured where --TESTCD = ""VOLUME""."
"SDTM v1.4","1","Associated Persons",,"APID","Associated Persons Identifier","Char",,"Identifier","Identifier","Identifier for a single associated person, a group of associated persons, or a pool of associated persons. If APID identifies a pool, POOLDEF records must exist for each associated person."
"SDTM v1.4","2","Associated Persons",,"RSUBJID","Related Subject","Char",,"Identifier","Identifier","Identifier for a related study subject or pool of study subjects. The subject(s) may be human or animal. RSUBJID will be populated with the USUBJID of the related subject or the POOLID of the related pool. RSUBJID will be null for data about associated persons who are related to the study but not to any of the study subjects."
"SDTM v1.4","3","Associated Persons",,"RDEVID","Related Device","Char",,"Identifier","Identifier","Identifier for a related device. RDEVID will be populated with the SPDEVID of the related device"
"SDTM v1.4","4","Associated Persons",,"SREL","Subject, Device, or Study Relationship","Char",,"Record Qualifier","Record Qualifier","If RSUBJID is populated, describes the relationship of the associated person(s) identified in APID to the subject or pool identified in RSUBJID. If RDEVID is populated, describes the relationship of the associated person(s) identified in APID to the device identified in RDEVID. If RSUBJID and RDEVID are null, SREL describes the relationship of the associated person(s) identified in APID to the study identified in STUDYID."
"SDTM v1.4","1","Special-Purpose","DM","STUDYID","Study Identifier","Char",,"Identifier","Identifier","Unique identifier for a study."
"SDTM v1.4","2","Special-Purpose","DM","DOMAIN","Domain Abbreviation","Char",,"Identifier","Identifier","Two-character abbreviation for the domain which must be DM."
"SDTM v1.4","3","Special-Purpose","DM","USUBJID","Unique Subject Identifier","Char",,"Identifier","Identifier","Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product."
"SDTM v1.4","4","Special-Purpose","DM","SUBJID","Subject Identifier for the Study","Char",,"Topic","Topic","Subject identifier, which must be unique within the study. Often the ID of the subject as recorded on a CRF."
"SDTM v1.4","5","Special-Purpose","DM","RFSTDTC","Subject Reference Start Date/Time","Char",,"Qualifier","Qualifier","Reference Start Date/time for the subject in ISO 8601 character format. Usually equivalent to date/time when subject was first exposed to study treatment. Required for all randomized subjects; will be null for all subjects who did not meet the milestone the date requires, such as screen failures or unassigned subjects."
"SDTM v1.4","6","Special-Purpose","DM","RFENDTC","Subject Reference End Date/Time","Char",,"Qualifier","Qualifier","Reference End Date/time for the subject in ISO 8601 character format. Usually equivalent to the date/time when subject was determined to have ended the trial, and often equivalent to date/time of last exposure to study treatment. Required for all randomized subjects; null for screen failures or unassigned subjects."
"SDTM v1.4","7","Special-Purpose","DM","RFXSTDTC","Date/Time of First Study Treatment","Char",,"Qualifier","Qualifier","First date/time of exposure to any protocol-specified treatment or therapy for the subject in ISO 8601 character format."
"SDTM v1.4","8","Special-Purpose","DM","RFXENDTC","Date/Time of Last Study Treatment","Char",,"Qualifier","Qualifier","Last date/time of exposure to any protocol-specified treatment or therapy for the subject in ISO 8601 character format."
"SDTM v1.4","9","Special-Purpose","DM","RFICDTC","Date/Time of Informed Consent","Char",,"Qualifier","Qualifier","Date/time of informed consent in ISO 8601 character format."
"SDTM v1.4","10","Special-Purpose","DM","RFPENDTC","Date/Time of End of Participation","Char",,"Qualifier","Qualifier","Date/time when subject ended participation or follow-up in a trial, in ISO 8601 character format. Should correspond to the last known date of contact."
"SDTM v1.4","11","Special-Purpose","DM","DTHDTC","Date/Time of Death","Char",,"Qualifier","Qualifier","Date/time of death for any subject who died, in ISO 8601 format. Should represent the date/time that is captured in the clinical-trial database."
"SDTM v1.4","12","Special-Purpose","DM","DTHFL","Subject Death Flag","Char",,"Qualifier","Qualifier","A value of 'Y' indicates the subject died. Should be Y or null. Should be populated even when the death date is unknown."
"SDTM v1.4","13","Special-Purpose","DM","SITEID","Study Site Identifier","Char",,"Qualifier","Qualifier","Unique identifier for a site within a study."
"SDTM v1.4","14","Special-Purpose","DM","INVID","Investigator Identifier","Char",,"Qualifier","Qualifier","An identifier to describe the Investigator for the study. May be used in addition to the SITEID. Not needed if SITEID is equivalent to INVID."
"SDTM v1.4","15","Special-Purpose","DM","INVNAM","Investigator Name","Char",,"Qualifier","Qualifier","Unique identifier for a site within a study."
"SDTM v1.4","16","Special-Purpose","DM","BRTHDTC","Date/Time of Birth","Char",,"Qualifier","Qualifier","Date/time of birth of the subject in ISO 8601 character format."
"SDTM v1.4","17","Special-Purpose","DM","AGE","Age","Num",,"Qualifier","Qualifier","Age expressed in AGEU. May be derived as (RFSTDTC-BRTHDTC), but BRTHDTC may not be available in all cases (due to subject privacy concerns)."
"SDTM v1.4","18","Special-Purpose","DM","AGETXT","Age Text","Char",,"Qualifier","Qualifier","The age of the subject at study start, as planned, expressed as a range. If an age integer value is available, then populate the age variable instead. Either the AGE or AGETXT variable should be populated, but not both."
"SDTM v1.4","19","Special-Purpose","DM","AGEU","Age Units","Char",,"Qualifier","Qualifier","Units associated with AGE or AGETXT."
"SDTM v1.4","20","Special-Purpose","DM","SEX","Sex","Char",,"Qualifier","Qualifier","Sex of the subject."
"SDTM v1.4","21","Special-Purpose","DM","RACE","Race","Char",,"Qualifier","Qualifier","Race of the subject. Sponsors should refer to ""Collection of Race and Ethnicity Data in Clinical Trials"" (FDA, September 2005) for guidance regarding the collection of race (http://www.fda.gov/downloads/RegulatoryInformation/Guidances/ucm126396.pdf)"
"SDTM v1.4","22","Special-Purpose","DM","ETHNIC","Ethnicity","Char",,"Qualifier","Qualifier","The ethnicity of the subject. Sponsors should refer to ""Collection of Race and Ethnicity Data in Clinical Trials"" (FDA, September 2005) for guidance regarding the collection of ethnicity (http://www.fda.gov/downloads/RegulatoryInformation/Guidances/ucm126396.pdf)"
"SDTM v1.4","23","Special-Purpose","DM","SPECIES","Species","Char",,"Qualifier","Qualifier","Used to identify the common species name of the subject (i.e., test system) under study (e.g., MOUSE, RAT, DOG, MONKEY)."
"SDTM v1.4","24","Special-Purpose","DM","STRAIN","Strain/Substrain","Char",,"Qualifier","Qualifier","Used to identify the vendor-supplied strain/substrain designation for the subject (i.e., test system) under study. When applicable, it combines the root strain, substrain, and associated genetic modifications, as supplied by the vendor (e.g., C57BL/6, A/J, B6.129-Pparg<tm2Rev>/J, FISCHER 344, SPRAGUE DAWLEY IGS, WISTAR Kyoto, BEAGLE, CYNOMOLGUS, CHIMPANZEE)."
"SDTM v1.4","25","Special-Purpose","DM","SBSTRAIN","Strain/Substrain Details","Char",,"Qualifier","Qualifier","Free-text field that allows the sponsor to enter additional details regarding the subject (i.e. test system) under study, such as a description of a specific genetic alteration."
"SDTM v1.4","26","Special-Purpose","DM","ARMCD","Planned Arm Code","Char",,"Qualifier","Qualifier","Short name for the Arm to which the subject was assigned, limited to 20 characters."
"SDTM v1.4","27","Special-Purpose","DM","ARM","Description of Planned Arm","Char",,"Qualifier","Qualifier","Name of the Arm to which the subject was assigned."
"SDTM v1.4","28","Special-Purpose","DM","ACTARMCD","Actual Arm Code","Char",,"Qualifier","Qualifier","Short name for the actual Arm in which the subject participated during the trial, limited to 20 characters."
"SDTM v1.4","29","Special-Purpose","DM","ACTARM","Description of Actual Arm","Char",,"Qualifier","Qualifier","Description of the actual Arm in which the subject participated during the trial."
"SDTM v1.4","30","Special-Purpose","DM","SETCD","Set Code","Char",,"Qualifier","Qualifier","Short name of a specific Trial Set (see Table 3.2.4), as defined by the sponsor. Maximum of 8 characters. This represents the code for the Trial Set for which parameters are being submitted."
"SDTM v1.4","31","Special-Purpose","DM","COUNTRY","Country","Char",,"Qualifier","Qualifier","Country of the investigational site at which the subject participated in the trial in ISO 3166 three-character format."
"SDTM v1.4","32","Special-Purpose","DM","DMDTC","Date/Time of Collection","Char",,"Timing","Timing","Date/time of collection of the demographic information in ISO 8601 character format."
"SDTM v1.4","33","Special-Purpose","DM","DMDY","Study Day of Collection","Num",,"Timing","Timing","Study day of collection measured as integer days. Algorithm for calculations must be relative to the sponsor-defined RFSTDTC in Demographics."
"SDTM v1.4","1","Special-Purpose","CO","STUDYID","Study Identifier","Char",,"Identifier","Identifier","Unique identifier for a study."
"SDTM v1.4","2","Special-Purpose","CO","DOMAIN","Domain Abbreviation","Char",,"Identifier","Identifier","Two-character abbreviation for the domain which must be CO."
"SDTM v1.4","3","Special-Purpose","CO","RDOMAIN","Related Domain Abbreviation","Char",,"Record Qualifier","Record Qualifier","Domain Abbreviation of the parent record(s). Null for records collected on general comments or additional information CRF page."
"SDTM v1.4","4","Special-Purpose","CO","USUBJID","Unique Subject Identifier","Char",,"Identifier","Identifier","Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product."
"SDTM v1.4","5","Special-Purpose","CO","POOLID","Pool Identifier","Char",,"Identifier","Identifier","Used to identify a result for pooled subjects that is not assignable to any one individual within the pool."
"SDTM v1.4","6","Special-Purpose","CO","COSEQ","Sequence Number","Num",,"Identifier","Identifier","Sequence number to ensure uniqueness within a domain. Should be assigned to be in a consistent chronological order."
"SDTM v1.4","7","Special-Purpose","CO","IDVAR","Identifying Variable","Char",,"Record Qualifier","Record Qualifier","Identifying variable in the parent dataset that identifies the record(s) to which the comment applies. Examples AESEQ or CMGRPID. Used only when individual comments are related to domain records. Null for comments collected on separate CRFs."
